ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi	Chinese (Taiwan)	Indonesian	Persian	Hebrew
MMI-0016	3D 지도								3D map																								3D मैप	3D মানচিত্র	3D नकाशा	3D మ్యాప్	3D மேப்	3D બર્ડ વ્યૂ	3D ಪಕ್ಷಿ ನಕ್ಷೆ	3D ବାର୍ଡ ଭ୍ୟୁ	3D ഭൂപടം	3D ਵਿਊ				
MMI-0017	확인								OK																								ठीक	ঠিক আছে	ठीक आहे	సరే	சரி	બરાબર છે	ಓಕೆ	ଓକେ	ശരി	ਠੀਕ ਹੈ				
MMI-0018	프로필 설정								Profile settings																								प्रोफ़ाइल सेटिंग्स	প্রোফাইল সেটিংস	प्रोफाइल सेटिंग्ज	ప్రొఫైల్ సెట్టింగ్‌లు	சுயவிவர அமைப்புகள்	પ્રોફાઇલ સેટિંગ્સ	ಪ್ರೊಫೈಲ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳು	ପ୍ରୋଫାଇଲ୍ ସେଟିଂସମୂହ	പ്രൊഫൈൽ ക്രമീകരണം	ਪ੍ਰੋਫਾਈਲ ਸੈਟਿੰਗਾਂ				
MMI-0019	기기 연결								Device connection																								डिवाइस कनेक्शन	ডিভাইস সংযোগ	डिव्हाइस कनेक्शन	పరికర కనెక్షన్	சாதன இணைப்பு	ઉપકરણ કનેક્શન	ಸಾಧನ ಸಂಪರ್ಕ	ଡିଭାଇସ୍ ସଂଯୋଜନା	ഉപകരണ കണക്ഷൻ	ਡੀਵਾਈਸ ਕਨੈਕਸ਼ਨ				
MMI-0020	폰 프로젝션 설정								Phone projection settings																								फ़ोन प्रोजेक्शन सेटिंग्स	ফোন প্রজেকশন সেটিংস	फोन प्रोजेक्शन सेटिंग्ज	ఫోన్ ప్రొజెక్షన్ సెట్టింగ్‌‌లు	ஃபோன் ப்ரொஜெக்ஷன் அமைப்புகள்	ફોન પ્રોજેક્શન સેટિંગ્સ	ಫೋನ್ ಪ್ರೊಜೆಕ್ಷನ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳು	ଫୋନ୍ ପ୍ରୋଜେକସନ୍ ସେଟିଂସ୍	ഫോൺ പ്രൊജക്ഷൻ ക്രമീകരണങ്ങൾ	ਫ਼ੋਨ ਉਭਾਰ ਸੰਬੰਧੀ ਸੈਟਿੰਗਾਂ				
MMI-0021	Android Auto								Android Auto																								Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto				
MMI-0022	Android Auto								Enable Android Auto																								Android Auto सक्षम करें	Android Auto সক্রিয় করুন	Android Auto सक्षम करा	Android Autoను ఎనేబుల్ చేయండి.	Android Auto அம்சத்தை இயக்கு	Android Auto ને સક્ષમ કરો	Android Auto ಸಕ್ರಿಯಗೊಳಿಸಿ	Android Auto ସକ୍ଷମ କରନ୍ତୁ	Android Auto പ്രവർത്തനക്ഷമമാക്കുക	Android Auto ਚਾਲੂ ਕਰੋ				
MMI-0023	분할 화면 사용								Use split screen on Android Auto screen																								Android Auto स्क्रीन पर विभाजित स्क्रीन का उपयोग करें	Android Auto স্ক্রিনে স্প্লিট স্ক্রিন ব্যবহার করুন	Android Auto स्क्रीनवर स्प्लिट स्क्रीन वापरा	Android Auto స్క్రీన్‌లో స్ల్పిట్ స్క్రీన్‌ని ఉపయోగించండి	Android Auto திரையில் பிளவுத் திரையைப் பயன்படுத்தவும்	Android Auto સ્ક્રીન પર સ્પ્લિટ સ્ક્રીનનો ઉપયોગ કરો	Android Auto ಸ್ಕ್ರೀನ್‌ನಲ್ಲಿ ಸ್ಪ್ಲಿಟ್ ಸ್ಕ್ರೀನ್ ಬಳಸಿ	Android Auto ସ୍କ୍ରିନରେ ସ୍ଲିଟ୍ ସ୍କ୍ରିନ୍ ବ୍ୟବହାର କରନ୍ତୁ	Android Auto സ്ക്രീനിൽ സ്പ്ലിറ്റ് സ്ക്രീൻ ഉപയോഗിക്കുക	ਸਪਲਿਟ ਸਕ੍ਰੀਨ ਦੀ Android Auto ਸਕ੍ਰੀਨ ਉੱਤੇ ਵਰਤੋਂ ਕਰੋ				
MMI-0024	Apple CarPlay								Apple CarPlay																								Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay				
MMI-0025	Apple CarPlay								Enable Apple CarPlay																								Apple CarPlay सक्षम करें	Apple CarPlay সক্রিয় করুন	Apple CarPlay सक्षम करा	Apple CarPlay ఎనేబుల్ చేయండి	Apple CarPlayஐ இயக்கு	Apple CarPlay ને સક્ષમ કરો	Apple CarPlay ಸಕ್ರಿಯಗೊಳಿಸಿ	Apple CarPlay ସକ୍ଷମ କରନ୍ତୁ	Apple CarPlay പ്രവർത്തനക്ഷമമാക്കുക	Apple Carplay ਚਾਲੂ ਕਰੋ				
MMI-0026	분할 화면 사용								Use split screen on Apple CarPlay screen																								Apple CarPlay स्क्रीन पर स्क्रीन विभाजित का उपयोग करें	Apple CarPlay স্ক্রিনে স্প্লিট স্ক্রিন ব্যবহার করুন	Apple CarPlay स्क्रीनवर स्प्लिट स्क्रीन वापरा	Apple CarPlay స్క్రీన్‌లో స్ల్పిట్ స్క్రీన్‌ని ఉపయోగించండి	Apple CarPlay திரையில் பிளவுத் திரையைப் பயன்படுத்தவும்	Apple CarPlay સ્ક્રીન પર સ્પ્લિટ સ્ક્રીનનો ઉપયોગ કરો	Apple CarPlay ಸ್ಕ್ರೀನ್‌ನಲ್ಲಿ ಸ್ಪ್ಲಿಟ್ ಸ್ಕ್ರೀನ್ ಬಳಸಿ	Apple CarPlay ସ୍କ୍ରିନରେ ସ୍ଲିଟ୍ ସ୍କ୍ରିନ୍ ବ୍ୟବହାର କରନ୍ତୁ	Apple CarPlay സ്ക്രീനിൽ സ്പ്ലിറ്റ് സ്ക്രീൻ ഉപയോഗിക്കുക	ਸਪਲਿਟ ਸਕ੍ਰੀਨ ਦੀ Apple CarPlay ਸਕ੍ਰੀਨ ਉੱਤੇ ਵਰਤੋਂ ਕਰੋ				
MMI-0027	표시 정보								Display contents																								डिस्प्ले करने की सामग्री	বিষয়বস্তু দেখান	सामग्री डिस्प्ले करा	కంటెంట్‌లు ప్రదర్శిస్తుంది	உள்ளடக்கங்களைக் காட்டவும்	કન્ટેન્ટને ડિસપ્લે કરો	ಕಂಟೆಂಟ್‌ಗಳನ್ನು ಪ್ರದರ್ಶಿಸಿ	ବିଷୟବସ୍ତୁଗୁଡିକ ଡିସପ୍ଲେ କରନ୍ତୁ	ഉള്ളടക്കം പ്രദർശിപ്പിക്കുക	ਡਿਸਪਲੇ ਸਮੱਗਰੀਆਂ				
MMI-0028	주차 거리 경고								Parking distance warning																								पार्किंग दूरी संबंधी चेतावनी	পার্কিং দূরত্ব সংক্রান্ত সতর্কতা	पार्किंग अंतर इशारा	పార్కింగ్ దూరం హెచ్చరిక	பார்கிங் தூர அச்சரிக்கை	પાર્કિંગના અંતરની ચેતવણી	ಪಾರ್ಕಿಂಗ್ ಅಂತರ ಎಚ್ಚರಿಕೆ	ପାର୍କିଂ ଦୂରତା ଚେତାବନୀ	പാർക്കിംഗ് ദൂര മുന്നറിയിപ്പ്	ਪਾਰਕਿੰਗ ਫ਼ਾਸਲੇ ਸੰਬੰਧੀ ਚਿਤਾਵਨੀ				
MMI-0029	디스플레이								Display																								डिस्‍प्‍ले	ডিসপ্লে	डिस्प्ले	డిస్‌ప్లే	காட்சி	ડિસપ્લે	ಡಿಸ್‌ಪ್ಲೇ	ଡିସପ୍ଲେ	ഡിസ്പ്ലേ	ਡਿਸਪਲੇ				
MMI-0030	카메라 설정								Camera settings																								कैमरा सेटिंग्स	ক্যামেরা সেটিংস	कॅमेरा सेटिंग्ज	కెమెరా సెట్టింగ్‌లు	கேமரா அமைப்புகள்	કેમેરાનું સેટિંગ્સ	ಕ್ಯಾಮೆರಾ ಸೆಟ್ಟಿಂಗ್‌ಗಳು	କ୍ୟାମେରା ସେଟିଂସ୍	ക്യാമറ ക്രമീകരണങ്ങൾ	ਕੈਮਰਾ ਸੈਟਿੰਗਾਂ				
MMI-0031	후방 카메라 유지								Extend rear camera use																								पीछे का कैमरा दृश्य रखें	পিছনের ক্যামেরা অন রাখুন	मागील कॅमेरा चालू ठेवा	వెనుక కెమెరా ఆన్ చేసి ఉంచండి	பின்புற கேமராவைச் செயலில் வைக்கவும்	પાછળનો કેમેરો ચાલુ રાખો	ಹಿಂಬದಿ ಕ್ಯಾಮೆರಾ ಆನ್‌ ಮಾಡಿ ಇಡಿ	ପଛ କ୍ୟାମେରା ଅନ୍ ରଖନ୍ତୁ	പിൻവശ ക്യാമറ ഓൺ ചെയ്തുവയ്ക്കുക	ਪਿਛਲਾ ਕੈਮਰਾ ਚਾਲੂ ਰੱਖੋ				
MMI-0032	후방 주차 가이드라인	Rear View Parking Lines	Líneas de estacionamiento en vista trasera	Lignes stationn. vue arr.	Linhas de estacionamento em visão traseira	后视图泊车引导线	後方駐車補助線	Rear view reference lines	Rear view reference lines	Rückansicht-Hilfslinien	Lignes stationn. vue arr.	Linee parcheggio da dietro	Líneas refer. vista trasera	Linhas de ref. vista inferior	Vizua. poster. linii referință	Hulplijnen achteruitzicht	Referencelinjer bakkamera	Hjälplinjer vid vy bakåt	Hjelpelinjer i ryggevisning	Wid. z tyłu - linie pomocn.	Linie v pohledu dozadu	Línie pri pohľade dozadu	Вспом. линии - вид сзади	Референ. лінії - вид ззаду	Vodilne črte vzvratn. pogl.	Pomoćne crte otraga	Задни реф. линии	Βοηθ. γραμμές πίσω όψης	Takanäkymän apulinjat	Tolató nézet segédvonalak	Arka görüş referans çizgil.	الخطوط المرجعية للعرض الخلفي	रियर व्यू की संदर्भ लाइन	রিয়ার ভিউ রেফারেন্স লাইন	मागील दृश्य संदर्भ रेषा	వెనుక వీక్షణ రిఫరెన్స్ లైన్స్	ரியர் வியூ குறிப்புக் கோடுகள்	રિયર વ્યૂ રેફરન્સ લાઇન્સ	ರಿಯರ್ ವ್ಯೂ ರಫರನ್ಸ್ ಲೈನ್ ಗಳು	ପଛ ଭିୟୁ ରେଫରେନ୍ସ ଲାଇନ୍ସ	റിയർ വ്യൂ റെഫറൻസ് ലൈനുകൾ	ਪਿਛਲੇ ਦ੍ਰਿਸ਼ ਸੰਬੰਧੀ ਸੰਦਰਭ ਲਾਈਨਾਂ		Garis Parkir Tampak Blkg	خطوط مرجع پارکینگ نمای عقب	קווי ייחוס של תצוגה אחורית
MMI-0033	운전자 보조								Driver assistance																								ड्राइवर सहायता	চালক সহায়তা	ड्रायव्हर सहाय्य	డ్రైవర్ సహాయం	ஓட்டுநர் உதவி	ડ્રાઇવરની સહાય	ಡ್ರೈವರ್‌ ನೆರವು	ଡ୍ରାଇଭର୍ ସହାୟତା	ഡ്രൈവർ അസിസ്റ്റൻസ്	ਡ੍ਰਾਈਵਰ ਸਹਾਇਕ				
MMI-0034	주차 안전 우선								Parking safety priority																								पार्किंग सुरक्षा प्राथमिकता	পার্কিং সুরক্ষায় অগ্রাধিকার	पार्किंग सुरक्षा प्राधान्य	పార్కింగ్ సేఫ్టీ ప్రాధాన్యత	பார்க்கிங் பாதுகாப்பு முன்னுரிமை	પાર્કિંગ સલામતી પ્રાધાન્યતા	ಪಾರ್ಕಿಂಗ್ ಸುರಕ್ಷತೆ ಆದ್ಯತೆ	ପାର୍କିଂ ସୁରକ୍ଷା ଅଗ୍ରାଧିକାର	പാർക്കിംഗ് സുരക്ഷാ മുൻഗണന	ਪਾਰਕਿੰਗ ਸੁਰੱਖਿਆ ਤਰਜੀਹ				
MMI-0035	화면 설정								Display settings																								डिस्प्ले सेटिंग्स	ডিসপ্লে সেটিংস	डिस्प्ले सेटिंग्ज	డిస్‌ప్లే సెట్టింగ్‌లు	காட்சி அமைப்புகள்	ડિસ્પ્લે સેટિંગ્સ	ಡಿಸ್‌ಪ್ಲೇ ಸೆಟ್ಟಿಂಗ್‌ಗಳು	ଡିସପ୍ଲେ ସେଟିଂସ୍	ഡിസ്പ്ലേ ക്രമീകരണങ്ങൾ	ਡਿਸਪਲੇ ਸੈਟਿੰਗਾਂ				
MMI-0036	공조								Climate																								जलवायु	জলবায়ু	हवामान	వాతావరణం	பருவநிலை	હવામાન	ಹವಾಮಾನ	ଜଳବାୟୁ	ക്ലൈമറ്റ്	ਮੌਸਮ				
MMI-0037	화면 끄기								Display Off																								डिस्‍प्‍ले बंद करें	ডিসপ্লে বন্ধ	डिस्प्ले ऑफ	డిస్‌ప్లే ఆఫ్ చేయబడింది	அணை	ડિસપ્લે બંધ	ಡಿಸ್‌ಪ್ಲೇ ಆಫ್‌	ଡିସପ୍ଲେ ଅଫ୍	ഡിസ്പ്ലേ ഓഫ്	ਡਿਸਪਲੇ ਬੰਦ				
MMI-0038	웹 매뉴얼								Manual																								मैन्युअल	ম্যানুয়াল	मॅन्युअल	మాన్యువల్	கைமுறையாக	મેન્યુઅલ	ಮ್ಯಾನ್ಯುಯಲ್	ମାନୁଆଲ୍	ദിവസം(കൾ)	ਹੱਥੀਂ				
MMI-0039	후석 취침 모드								Quiet mode																								क्वाइट मोड	কোয়াইট মোড	शांत मोड	నిశ్శబ్ధ మోడ్	அமைதி மோட்	ક્વાએટ (શાંત) મોડ	ಕ್ವೈಟ್ ಮೋಡ್	ଶାନ୍ତ ମୋଡ୍	നിശബ്ദ മോഡ്	ਸ਼ਾਂਤ ਮੋਡ				
MMI-0040	미디어								Media																								मीडिया	মিডিয়া	मीडिया	మీడియా	மீடியா	મીડિયા	ಮೀಡಿಯಾ	ମିଡିଆ	മീഡിയ	ਮੀਡੀਆ				
MMI-0041	자연의 소리								Sounds of nature																								प्रकृति की आवाज़	প্রকৃতির শব্দ	निसर्गातले ध्वनी	ప్రకృతి శబ్దాలు	சவுண்ட்ஸ் ஆஃப் நேச்சர்	પ્રકૃતિની ધ્વનિ	ನಿಸರ್ಗದ ಧ್ವನಿ	ପ୍ରକୃତିର ଶବ୍ଦ	പ്രകൃതിയുടെ ശബ്ദങ്ങൾ	ਕੁਦਰਤ ਦੀਆਂ ਧੁਨੀਆਂ				
MMI-0042	미디어 선택								Media sources																								मीडिया स्रोत	মিডিয়ার উৎস	मीडिया स्रोत	మీడియా వనరులు	மீடியா மூலங்கள்	મીડિયા સ્ત્રોતો	ಮಾಧ್ಯಮ ಮೂಲಗಳು	ମିଡିଆ ଉତ୍ସଗୁଡିକ	മീഡിയ സ്രോതസുകൾ	ਮੀਡੀਆ ਸਰੋਤ				
MMI-0043	사운드 설정								Sound settings																								ध्वनि सेटिंग्स	সাউন্ড সেটিংস	ध्वनी सेटिंग्ज	సౌండ్ సెట్టింగ్‌లు	ஒலி அமைப்புகள்	ધ્વનિ સેટિંગ્સ	ಸೌಂಡ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳು	ଧ୍ୱନି ସେଟିଂସ୍	ശബ്ദ ക്രമീകരണങ്ങൾ	ਧੁਨੀ ਸੈਟਿੰਗਾਂ				
MMI-0044	발레 모드								Valet mode																								वैलै मोड	ভ্যালেট মোড	वॉलेट मोड	వాలెట్ మోడ్	வேலட் மோட்	વેલેટ મોડ	ವಾಲೆಟ್ ಮೋಡ್	ଭାଲେଟ୍ ମୋଡ୍	വാലറ്റ് മോഡ്	ਵਾਲੇਟ ਮੋਡ				
MMI-0045	웹 매뉴얼								Manual																								मैन्युअल	ম্যানুয়াল	मॅन्युअल	మాన్యువల్	கைமுறையாக	મેન્યુઅલ	ಮ್ಯಾನ್ಯುಅಲ್	ମାନୁଆଲ୍	ദിവസം(കൾ)	ਹੱਥੀਂ				
MMI-0046	라디오								Radio																								रेडियो	রেডিও	रेडिओ	రేడియో	ரேடியோ	રેડિયો	ರೇಡಿಯೋ	ରେଡିଓ	റേഡിയോ	ਰੇਡੀਓ				
MMI-0047	현위치 방송 목록								Station list																								स्टेशन सूची	স্টেশনের তালিকা	स्टेशन यादी	స్టేషన్ లిస్ట్‌	ஸ்டேஷன் பட்டியல்	સ્ટેશન સૂચિ	ಸ್ಟೇಷನ್ ಲಿಸ್ಟ್	ଷ୍ଟେସନ୍ ତାଲିକା	സ്റ്റേഷൻ പട്ടിക	ਸਟੇਸ਼ਨ ਸੂਚੀ				
MMI-0048	FM 수동 주파수 검색								Manual tune FM																								मैन्युअल ट्यून FM	ম্যানুয়াল টিউন FM	मॅन्युअल ट्यून FM	ఎఫ్ఎంను మాన్యువల్‌గా ట్యూన్ చేయండి	கைமுறை டியூன் FM	મેન્યુઅલ ટ્યુન FM	ಹಸ್ತಚಾಲಿತ ಟ್ಯೂನ್ FM	ମାନୁଆଲ୍ ଟ୍ୟୁନ୍ FM	മാന്വൽ ട്യൂൺ FM	FM ਨੂੰ ਮੈਨੁਅਲ ਟਿਊਨ ਕਰੋ				
MMI-0049	AM 수동 주파수 검색								Manual tune AM																								मैन्युअल ट्यून AM	ম্যানুয়াল টিউন AM	मॅन्युअल ट्यून AM	AM మాన్యువల్ గా ట్యూన్ చేయండి	கைமுறை டியூன் AM	મેન્યુઅલ ટ્યુન AM	ಹಸ್ತಚಾಲಿತ ಟ್ಯೂನ್ AM	ମାନୁଆଲ୍ ଟ୍ୟୁନ୍ AM	മാന്വൽ ട്യൂൺ AM	AM ਨੂੰ ਮੈਨੁਅਲ ਟਿਊਨ ਕਰੋ				
MMI-0050	FM 방송 스캔								Scan FM																								स्कैन FM	FM স্ক্যান করুন	FM स्कॅन करा	FM స్కాన్ చేయండి	FMஐ ஸ்கேன் செய்யவும்	FM સ્કેન કરો	FM ಸ್ಕ್ಯಾನ್ ಮಾಡಿ	FM ସ୍କାନ୍ କରନ୍ତୁ	FM സ്കാൻ ചെയ്യുക	FM ਸਕੈਨ ਕਰੋ				
MMI-0051	AM 방송 스캔								Scan AM																								स्कैन AM	AM স্ক্যান করুন	AM स्कॅन करा	AM స్కాన్ చేయండి	AMஐ ஸ்கேன் செய்யவும்	AM સ્કેન કરો	AM ಸ್ಕ್ಯಾನ್ ಮಾಡಿ	AM ସ୍କାନ୍ କରନ୍ତୁ	AM സ്കാൻ ചെയ്യുക	AM ਸਕੈਨ ਕਰੋ				
MMI-0052	프리셋 삭제								Delete favourites																								प्रीसेट हटाएँ	পছন্দসমূহ ডিলিট করুন	फेवरिट्स हटवा	ఫేవరేట్‌లను తొలగించండి	பிடித்தவையை நீக்கவும்	ફેવરેટને કાઢી નાખો	ಫೇವರೀಟ್‌ಗಳನ್ನು ಅಳಿಸಿ	ପସନ୍ଦଗୁଡିକ ବିଲୋପ କରନ୍ତୁ	പ്രിയപ്പെട്ടവ ഇല്ലാതാക്കുക	ਪਸੰਦੀਦਾ ਮਿਟਾਓ				
MMI-0053	정보								Info																								जानकारी	তথ্য	माहिती	సమాచారం	தகவல்	માહિતી	ಮಾಹಿತಿ	ସୂଚନା	വിവരം	ਜਾਣਕਾਰੀ				
MMI-0054	라디오 음질								Radio noise control																								रेडियो नॉइज़ कण्ट्रोल	রেডিওর কোলাহল নিয়ন্ত্রণ	रेडिओ आवाज नियंत्रण	రేడియో చప్పుడు కంట్రోల్	ரேடியோ நாய்ஸ் கன்ட்ரோல்	રેડિયો અવાજ નિયંત્રણ	ರೇಡಿಯೋ ಕರ್ಕಶ ಶಬ್ದ ನಿಯಂತ್ರಣ	ରେଡିଓ ଶବ୍ଦ ନିୟନ୍ତ୍ରଣ	റേഡിയോ ശബ്ദ നിയന്ത്രണം	ਰੇਡੀਓ ਧੁਨੀ ਨਿਯੰਤ੍ਰਣ				
MMI-0055	SoundHound 검색 기록								Soundhound history																								SoundHound इतिहास	SoundHound ব্যবহারের অতীত বিবরণ	SoundHound इतिहास	SoundHound చరిత్ర	SoundHound வரலாறு	SoundHound ઇતિહાસ	SoundHound ಇತಿಸಾಹ	SoundHound ଇତିବୃତ୍ତି	SoundHound ചരിത്രം	SoundHound ਇਤਿਹਾਸ				
MMI-0056	즐겨찾기								Favourites																								पसंदीदा	পছন্দসমূহ	फेवरिट्स	ఇష్టాంశాలు	விருப்பமானவை	ફેવરેટ	ಫೇವರೀಟ್‌ಗಳು	ପସନ୍ଦଗୁଡ଼ିକ	പ്രിയപ്പെട്ടവ	ਪਸੰਦੀਦਾ				
MMI-0057	라디오								Radio																								रेडियो	রেডিও	रेडिओ	Radio	ரேடியோ	રેડિયો	ರೇಡಿಯೋ	ରେଡିଓ	റേഡിയോ	ਰੇਡੀਓ				
MMI-0058	FM								FM																								FM	FM	FM	FM	FM	FM	FM	FM	FM	FM				
MMI-0059	AM								AM																								AM	AM	AM	AM	AM	AM	AM	AM	AM	AM				
MMI-0060	삭제								Delete																								डिलीट करें	ডিলিট করুন	हटवा	తొలగించండి	நீக்கவும்	કાઢી નાખો	ಅಳಿಸಿ	ବିଲୋପ କରନ୍ତୁ	ഇല്ലാതാക്കുക	ਮਿਟਾਓ				
MMI-0061	예								Yes																								हाँ	হ্যাঁ	हो	అవును	ஆம்	હા	ಹೌದು	ହଁ	വേണം	ਹਾਂ				
